Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
1.97285,2.617720629487149,2.281951750342108,2.0140123825804,1.791665728376506,1.599168155426324,1.422669926258214,1.242391769930775,0.9435842194417694,0.62024661892797,0.5372548740173111,0.4832881443816617,0.4426315405971895,0.409907134920691,0.3825694970802617,0.3592276210893565
2.0018625,2.631748437840908,2.294543613449928,2.025624299375262,1.802710764795389,1.610136157978357,1.434387235789175,1.257168676708114,1.001123610849756,0.6384332365633704,0.5490307529202558,0.4926450623112292,0.4505728056639004,0.4169472838243453,0.3889435355638406,0.3650847341573062
2.030875,2.645764154794242,2.307116943955045,2.037207086013005,1.813707675473206,1.621017359743562,1.445868143111156,1.271472576231321,1.039456251964754,0.6581869302111255,0.5610892525316449,0.5021050909157198,0.458607676762429,0.4240470494648694,0.3953582062969952,0.3709712336459189
2.0598875,2.659768152629459,2.319672373327967,2.048761868536442,1.824658674947759,1.6318167590286,1.457236564428891,1.285240427282719,1.069294989663774,0.6799579544703668,0.5735618367895622,0.511744376856948,0.4667414530101494,0.4312091579137839,0.4018150592897196,0.3768880921599456
2.0889,2.673760788943691,2.332210505043656,2.060289715172513,1.83556583754548,1.642538946720396,1.46844524717648,1.298544361785279,1.094493107664277,0.7045719993601876,0.5864998940382136,0.5215772484072544,0.4749798607800544,0.4384365093521169,0.4083506965046262,0.3828363256923956
2.1179125,2.687742407363502,2.344731916133628,2.071791640105194,1.846431108927424,1.653178592602721,1.47950605723821,1.311443568517285,1.116644507011351,0.7329068783485028,0.600103250871671,0.5316194010934924,0.4833290984562601,0.4457321923640546,0.4149005230373543,0.3888169960648744
2.146925,2.701713338217785,2.357237158633794,2.083268606946792,1.857256316458845,1.663761475943849,1.490429836517951,1.323906159956652,1.136548226510085,0.7667170352549814,0.6142073746423611,0.5418883805698308,0.4917958868440157,0.4530994996364441,0.4214980039699611,0.3948312135303673
2.1759375,2.715673899171794,2.369726760936273,2.094721531936265,1.868043178544866,1.674278300297993,1.501226272887316,1.336148512089048,1.154786530360184,0.8084005205612614,0.629141208661713,0.5524038670886493,0.5003875260344208,0.4605419452189802,0.4281451194248746,0.4008801395504085
2.20495,2.729624395824964,2.382201229052722,2.106151286890048,1.878806502710891,1.684732483717661,1.511904061468809,1.348103924293711,1.171727360783576,0.8583078227822838,0.6447929123050776,0.5632857269918086,0.5091843544019867,0.4680632835170198,0.4348439195124531,0.4069649897594326
2.2339625,2.743565122274915,2.394661047795997,2.117558701928144,1.889522654054885,1.695127206997724,1.522471039095435,1.359800390629294,1.187758225228295,0.909961109227536,0.6615502887844428,0.5743853013115053,0.5180617779577664,0.4756675302075563,0.4415965703364019,0.4130870371300114
2.262975,2.757496361649906,2.40710668188637,2.128944567995763,1.900205008394064,1.705465424822516,1.532934296295648,1.371262575895698,1.202815868598898,0.9541908372708789,0.6793371196081308,0.5858109343893759,0.5270915932099149,0.4833589852886807,0.448405362314295,0.4192808832903864
2.2919875,2.771418386611783,2.419538576987986,2.140309639198724,1.910854919690967,1.715749886805517,1.543300271228111,1.382511691761499,1.2172813582335,0.9902329433128494,0.6986788109012397,0.597596383431874,0.5362846634147843,0.4911422584935323,0.4552727191287486,0.4254845962391338
2.321,2.785331459831351,2.43195716068074,2.151654634968926,1.921473669430777,1.725983156111529,1.553574828998359,1.393566128227728,1.231128819409622,1.019920521514795,0.7198852078066913,0.6098871099032631,0.5456526420232805,0.4990222973206742,0.462201207421546,0.4317299550539372
